PRIMARY_KEY,REP_DATE,CAD_date_time,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,CORRECTED_search_based_on,CORRECTED_search_discovered,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,CAD_sector,CouncilDistrict
20171560072,06/05/2017,06/05/2017,M,WHITE,600 AUGUSTA AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107170,10073616,BAKER,Council District 9
20172090037,07/28/2017,07/28/2017,M,ASIAN,400 JOSEPHINE ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3109343,10068483,DAVID,Council District 5
20172730297,09/30/2017,09/30/2017,M,HISPANIC OR LATINO,MANOR RD / SWEENEY LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133784,10085180,IDA,Council District 1
20171771514,06/26/2017,06/26/2017,M,BLACK,MONTOPOLIS DR / E RIVERSIDE DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127106,10055361,HENR,Council District 3
201741638,01/04/2017,01/04/2017,M,HISPANIC OR LATINO,4600 SPRINGDALE RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133713,10078790,CHARLIE,Council District 1
2017141479,01/14/2017,01/14/2017,M,HISPANIC OR LATINO,MANOR RD / PECAN SPRINGS RD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3132227,10083165,IDA,Council District 1
2017221682,01/23/2017,01/22/2017,M,WHITE,2700 W WILLIAM CANNON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3091901,10048144,DAVID,Council District 5
2017231843,01/24/2017,01/23/2017,M,HISPANIC OR LATINO,3700 OAK SPRINGS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130059,10073193,CHARLIE,Council District 1
2017231880,01/23/2017,01/23/2017,M,HISPANIC OR LATINO,5700 MANCHACA RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3096853,10051102,DAVID,Council District 5
2017241660,01/24/2017,01/24/2017,M,HISPANIC OR LATINO,9700 PARKFIELD DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,ALCOHOL,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125818,10108828,EDWARD,Council District 4
