,REP_DATE,CAD_date_time,X_COORDINATE,Y_COORDINATE,search_success,isMale,race_known,BLACK,HISPANIC OR LATINO,WHITE,CALL FOR SERVICE,CONSENSUAL CONTACT,MOTOR VEHICLE DRIVER,OTHER,PRE-EXISTING KNOWLEDGE,SUSPICIOUS PERSON / VEHICLE,VIOLATION OF CITY ORDIANCE,VIOLATION OF PENAL CODE,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,ADAM PD,BAKER,CHARLIE,DAVID,EDWARD,FRANK,GEORGE,HENR,IDA,OOC,TRAVIS PD
18,-1.5868183104325273,-1.5880259730918278,0.7533320489624977,2.0031874535781764,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
88,-1.5868183104325273,-1.5880259730918278,-0.7222977041693599,-0.9772994320810963,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
178,-1.5868183104325273,-1.5880259730918278,0.018915476401510978,-1.4025108716516776,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
220,-1.5868183104325273,-1.5880259730918278,0.03279587304141492,1.8963392225061007,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
279,-1.5868183104325273,-1.5880259730918278,0.7006822686042414,-0.426674881289666,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
376,-1.5868183104325273,-1.5880259730918278,-0.5997673062446905,-1.540077969156975,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
516,-0.031236580914026126,-0.025107130009356958,0.9385635489501815,1.0842926663583252,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
538,-1.5868183104325273,-1.5880259730918278,-0.6103929891897205,-1.9065228816379147,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
723,-1.5868183104325273,-1.5880259730918278,-1.7125922092714725,-1.5914096401678515,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
746,-1.5868183104325273,-1.5880259730918278,-0.19666144244720413,-0.44408223893515836,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
870,-1.5868183104325273,-1.5880259730918278,1.137771172451148,0.030991708469058393,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
989,-1.5868183104325273,-1.5880259730918278,-2.3889025696916204,2.6847901276254595,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1119,-1.5868183104325273,-1.5880259730918278,0.14154160119955897,0.9776670357676495,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1280,-0.031236580914026126,-0.025107130009356958,0.22338807793830293,1.1680349674610644,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1341,-0.031236580914026126,-0.025107130009356958,-0.03450011894377457,-0.08048661261614062,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1381,-0.031236580914026126,-0.025107130009356958,0.6335777303658092,1.2671812218766947,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1391,-0.031236580914026126,-0.025107130009356958,-0.4808745295084098,-0.3712028413247467,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1392,-0.031236580914026126,-0.025107130009356958,0.47352239807670987,-0.37801441605559155,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1397,-0.031236580914026126,-0.025107130009356958,0.195914465278631,0.9868381756013359,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1398,-0.031236580914026126,-0.025107130009356958,-1.691245116508034,-1.429935250960177,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1422,-0.031236580914026126,-0.025107130009356958,-1.0739025100891337,2.4497240192668928,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1462,-0.031236580914026126,-0.025107130009356958,-0.4362658065139599,-1.593769205270693,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
